id,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
1,78766,72734,118079,118080,117878,117879,118177,19721,117880
2,40644,4378,117961,118327,118507,118863,122008,118398,118865
3,75443,2395,117961,118300,119488,118172,301534,249618,118175
4,43219,19986,117961,118225,118403,120773,136187,118960,120774
5,42093,50015,117961,118343,119598,118422,300136,118424,118425
6,44722,1755,117961,117962,119223,125793,146749,118643,125795
7,75834,21135,117961,118343,123494,118054,118054,117887,118055
8,4675,3077,117961,118300,120312,124194,124195,118363,124196
9,18072,15575,117902,118041,118623,280788,280788,292795,119082
10,22680,4474,117961,118446,119064,118321,118448,290919,118322
11,23150,25293,117961,118386,128823,118321,117906,290919,118322
12,80179,6222,117961,118052,118746,117905,117906,290919,117908
13,25993,52925,117980,117981,117920,118568,156279,19721,118570
14,14570,108550,117929,117930,117912,118568,281735,19721,118570
15,80452,1600,117961,118327,118507,118890,311441,118398,118892
16,34026,19839,117961,118300,120722,118685,120316,308574,118687
17,78106,53747,117916,118150,117884,118568,146968,19721,118570
18,34924,2017,117961,118327,121645,118321,117906,290919,118322
19,41297,3883,117961,118343,119987,118536,132799,308574,118539
20,73756,39942,117961,118225,124380,307024,140976,118331,118332
21,4675,771,117961,118300,120722,118321,117906,290919,118322
22,5349,7370,117961,118413,118481,127782,230830,290919,127783
23,80127,2765,118290,118291,118301,120344,267006,118424,120346
24,15798,5464,117916,119623,118403,118321,117906,290919,118322
25,28315,48938,118169,118170,118042,118043,285669,270488,118046
26,20351,2034,117961,118052,118328,299559,259703,118205,163732
27,8708,121729,118358,118359,29113,118054,117886,117887,118055
28,41649,49323,118990,118991,118992,118321,117906,290919,118322
29,5173,3970,117961,118300,118458,118054,118054,117887,118055
30,34299,9659,118742,118743,117920,117885,117886,117887,117888
31,29634,7648,117961,118300,119195,117905,117906,290919,117908
32,3069,3119,117961,118300,120312,119849,310589,118638,119851
33,27356,22800,117961,118343,118171,118636,185784,118638,118639
34,34277,3104,117961,118343,123476,118054,118054,117887,118055
35,80903,2819,117961,118300,120410,117905,117906,290919,117908
36,27178,46503,120140,120141,121589,120952,120953,118453,120954
37,13878,51311,117961,118343,121747,119928,310608,118331,119929
38,4675,17831,117902,117903,28618,128230,302830,4673,128231
39,77049,63815,117922,117923,117941,117879,117886,19721,117880
40,20293,21951,118006,118007,117941,117885,117886,117887,117888
41,20226,15615,118752,118753,119121,280788,280788,292795,119082
42,32270,15887,117961,118052,120356,126516,126517,118612,126518
43,79092,10472,117876,117877,117878,117879,117879,19721,117880
44,19722,4620,117961,118300,119181,117905,180083,290919,117908
45,80899,8085,117961,118300,118535,118321,147045,290919,118322
46,34005,770,117961,118300,119181,128230,302830,4673,128231
47,19980,5730,117961,118446,120026,120578,137493,118762,120580
48,79228,10704,117932,117933,117878,117879,117879,19721,117880
49,4675,7393,117902,117903,134257,117905,118036,290919,117908
50,75943,3100,216705,119256,118599,118054,167069,117887,118055
51,75078,7284,91261,118026,118202,117905,117906,290919,117908
52,16631,16541,117961,118225,120551,117905,117906,290919,117908
53,16218,5456,117961,118225,118403,117905,117906,290919,117908
54,39883,24926,91261,118026,118229,273308,120072,249618,118232
55,14955,43514,117961,118446,127812,118801,147130,19793,118803
56,43876,83560,118079,118080,117878,117879,304519,19721,117880
57,7543,4620,117961,118300,119181,117905,240983,290919,117908
